year,month,day,hour,minute,second,latitude,longitude,depth,mag_type,magnitude,time
2022,1,3,23,36,19.97,27.843,100.577,6,ML,1.0,2022-01-03 23:36:19.970
2022,1,3,23,38,10.19,23.951,102.809,12,ML,0.4,2022-01-03 23:38:10.190
2022,1,3,23,38,48.96,27.827,100.575,6,ML,0.0,2022-01-03 23:38:48.960
2022,1,3,23,44,43.85,27.818,100.572,10,ML,-0.2,2022-01-03 23:44:43.850
2022,1,3,23,47,40.17,27.313,104.868,10,ML,2.6,2022-01-03 23:47:40.170
2022,1,4,0,0,4.89,27.818,100.636,10,ML,1.1,2022-01-04 00:00:04.890
2022,1,4,0,2,23.04,28.314,104.926,3,ML,0.5,2022-01-04 00:02:23.040
2022,1,4,0,4,18.08,29.646,104.681,3,ML,0.6,2022-01-04 00:04:18.080
2022,1,4,0,8,1.43,27.117,102.894,16,ML,1.3,2022-01-04 00:08:01.430
2022,1,4,0,8,14.55,27.849,100.669,4,ML,0.8,2022-01-04 00:08:14.550
2022,1,4,0,14,38.44,27.822,100.592,10,ML,-0.0,2022-01-04 00:14:38.440
2022,1,4,0,15,14.5,27.843,100.662,5,ML,-0.2,2022-01-04 00:15:14.500
2022,1,4,0,15,40.11,27.822,100.599,10,ML,0.9,2022-01-04 00:15:40.110
2022,1,4,0,23,16.64,27.818,100.596,10,ML,0.3,2022-01-04 00:23:16.640
2022,1,4,0,26,33.9,27.821,100.633,10,ML,0.5,2022-01-04 00:26:33.900
2022,1,4,0,29,15.38,27.815,100.566,10,ML,0.2,2022-01-04 00:29:15.380
2022,1,4,0,44,15.49,27.804,100.618,10,ML,0.8,2022-01-04 00:44:15.490
2022,1,4,0,55,5.37,27.827,100.649,5,ML,-0.1,2022-01-04 00:55:05.370
2022,1,4,0,59,43.37,29.461,101.927,9,ML,1.8,2022-01-04 00:59:43.370
2022,1,4,1,5,37.39,27.879,100.594,10,ML,1.3,2022-01-04 01:05:37.390
2022,1,4,1,8,57.96,27.826,100.644,10,ML,0.3,2022-01-04 01:08:57.960
2022,1,4,1,13,5.47,27.809,100.629,10,ML,-0.2,2022-01-04 01:13:05.470
2022,1,4,1,23,39.38,27.865,100.657,3,ML,0.1,2022-01-04 01:23:39.380
2022,1,4,1,25,27.9,27.844,100.578,10,ML,1.1,2022-01-04 01:25:27.900
2022,1,4,1,40,33.86,27.809,100.547,10,ML,0.5,2022-01-04 01:40:33.860
2022,1,4,1,44,0.65,27.825,100.636,10,ML,0.4,2022-01-04 01:44:00.650
