station_id,waveform_id,phase_time,phase_type,phase_score,phase_amplitude
QJ02,QJ.QJ02.20221119.140038107,2022-11-19 14:03:48.480,S,0.17094017094017103,516.5740966796875
QJ02,QJ.QJ02.20221119.140038108,2022-11-19 14:08:30.980,P,0.07264957264957264,695.9122314453125
QJ02,QJ.QJ02.20221119.140038108,2022-11-19 14:08:31.770,S,0.08119658119658117,611.552490234375
QJ02,QJ.QJ02.20221119.140038109,2022-11-19 14:10:39.620,P,0.1837606837606839,80.49220275878906
QJ02,QJ.QJ02.20221119.140038110,2022-11-19 14:16:23.400,P,0.19658119658119674,374.5505676269531
QJ02,QJ.QJ02.20221119.140038110,2022-11-19 14:16:28.160,S,0.1410256410256411,374.5505676269531
QJ02,QJ.QJ02.20221119.140038111,2022-11-19 14:18:28.500,P,0.03846153846153842,88.99856567382812
QJ02,QJ.QJ02.20221119.140038111,2022-11-19 14:18:31.760,S,0.08547008547008556,88.99856567382812
QJ02,QJ.QJ02.20221119.140038112,2022-11-19 14:20:39.600,P,0.08974358974358987,238.5938720703125
QJ02,QJ.QJ02.20221119.140038112,2022-11-19 14:20:42.480,S,0.11538461538461538,238.5938720703125
QJ02,QJ.QJ02.20221119.150038113,2022-11-19 14:23:32.390,P,0.11111111111111117,191.29884338378903
QJ02,QJ.QJ02.20221119.150038113,2022-11-19 14:23:37.480,S,0.04700854700854703,191.29884338378903
QJ02,QJ.QJ02.20221119.150038114,2022-11-19 14:29:39.910,P,0.09829059829059837,795.6072998046875
QJ02,QJ.QJ02.20221119.150038114,2022-11-19 14:29:43.100,S,0.10683760683760687,795.6072998046875
QJ02,QJ.QJ02.20221119.150038115,2022-11-19 14:31:51.370,P,0.08974358974358987,292.228759765625
QJ02,QJ.QJ02.20221119.150038115,2022-11-19 14:31:53.560,S,0.08119658119658117,292.228759765625
QJ02,QJ.QJ02.20221119.150038116,2022-11-19 14:33:28.260,P,0.09829059829059837,918.0055541992188
QJ02,QJ.QJ02.20221119.150038116,2022-11-19 14:33:30.450,S,0.1538461538461539,918.0055541992188
QJ02,QJ.QJ02.20221119.150038119,2022-11-19 14:45:57.120,P,0.11538461538461538,18.55161476135254
QJ02,QJ.QJ02.20221119.150038119,2022-11-19 14:46:07.170,S,0.004273504273504203,19.01548194885254
QJ02,QJ.QJ02.20221119.150038120,2022-11-19 14:46:53.110,P,0.1837606837606839,1669.7911376953125
QJ02,QJ.QJ02.20221119.150038120,2022-11-19 14:46:55.200,S,0.19658119658119674,1669.7911376953125
QJ02,QJ.QJ02.20221119.150038122,2022-11-19 14:55:02.140,P,0.1538461538461539,1160.7861328125
QJ02,QJ.QJ02.20221119.150038122,2022-11-19 14:55:04.190,S,0.21367521367521375,1160.7861328125
QJ02,QJ.QJ02.20221119.150038123,2022-11-19 14:58:23.850,P,0.17521367521367523,581.0932006835938
QJ02,QJ.QJ02.20221119.150038123,2022-11-19 14:59:29.760,S,0.004273504273504203,119.42970275878906
QJ02,QJ.QJ02.20221119.150038124,2022-11-19 15:02:48.470,P,0.03846153846153842,204.0771484375
QJ02,QJ.QJ02.20221119.150038124,2022-11-19 15:02:50.270,S,0.029914529914530016,204.0771484375
QJ02,QJ.QJ02.20221119.150038125,2022-11-19 15:05:09.200,P,0.1495726495726496,3613.162841796875
QJ02,QJ.QJ02.20221119.150038125,2022-11-19 15:05:12.060,S,0.11538461538461538,3613.162841796875
QJ02,QJ.QJ02.20221119.150038126,2022-11-19 15:07:07.590,P,0.1410256410256411,1194.5604248046875
QJ02,QJ.QJ02.20221119.150038126,2022-11-19 15:07:50.210,S,0.1367521367521369,811.3052978515625
QJ02,QJ.QJ02.20221119.150038127,2022-11-19 15:10:39.150,P,0.1239316239316241,442.4517517089844
QJ02,QJ.QJ02.20221119.150038127,2022-11-19 15:10:46.500,S,0.06410256410256425,442.4517517089844
QJ02,QJ.QJ02.20221119.150038128,2022-11-19 15:13:30.540,P,0.03846153846153842,51.77070999145508
QJ02,QJ.QJ02.20221119.150038128,2022-11-19 15:15:17.380,S,0.11538461538461538,74.10416412353516
QJ02,QJ.QJ02.20221119.150038129,2022-11-19 15:19:59.990,P,0.3034188034188034,12.4507417678833
QJ02,QJ.QJ02.20221119.150038129,2022-11-19 15:19:59.990,S,0.021367521367521413,12.4507417678833
QJ02,QJ.QJ02.20221119.150038130,2022-11-19 15:23:04.750,S,0.1538461538461539,50.63901901245117
QJ02,QJ.QJ02.20221119.160038132,2022-11-19 15:27:11.380,P,0.055555555555555636,667.7442626953125
QJ02,QJ.QJ02.20221119.160038133,2022-11-19 15:32:28.650,P,0.21367521367521375,729.5118408203125
QJ02,QJ.QJ02.20221119.160038133,2022-11-19 15:32:30.160,S,0.029914529914530016,635.5918579101562
QJ02,QJ.QJ02.20221119.160038134,2022-11-19 15:35:47.900,P,0.04273504273504273,121.62691497802734
QJ02,QJ.QJ02.20221119.160038134,2022-11-19 15:34:40.370,S,0.01282051282051281,31.232555389404297
QJ02,QJ.QJ02.20221119.160038135,2022-11-19 15:37:26.370,P,0.10256410256410267,177.86978149414062
QJ02,QJ.QJ02.20221119.160038136,2022-11-19 15:40:35.610,P,0.059829059829059845,58.48657989501953
QJ02,QJ.QJ02.20221119.160038136,2022-11-19 15:42:39.540,S,0.051282051282051336,374.8612365722656
QJ02,QJ.QJ02.20221119.160038139,2022-11-19 15:52:28.850,P,0.06410256410256425,204.3151397705078
QJ02,QJ.QJ02.20221119.160038139,2022-11-19 15:53:19.990,S,0.008547008547008605,11.208843231201172
QJ02,QJ.QJ02.20221119.160038140,2022-11-19 15:55:23.130,P,0.09829059829059837,152.91986083984375
QJ02,QJ.QJ02.20221119.160038140,2022-11-19 15:55:26.910,S,0.06837606837606844,152.91986083984375
QJ02,QJ.QJ02.20221119.160038141,2022-11-19 15:59:10.120,P,0.25213675213675224,4910.8603515625
QJ02,QJ.QJ02.20221119.160038141,2022-11-19 15:59:17.450,S,0.09401709401709406,4910.8603515625
